기준년월,광역지자체,중분류,,지출액,전년도 지출액
202201,부산광역시,총소비,0000,4198132.0,2684265.0
202201,부산광역시,호텔,1001,465291.0,299367.0
202201,부산광역시,콘도,1002,177.0,231.0
202201,부산광역시,캠핑장/펜션,1003,0.0,0.0
202201,부산광역시,기타숙박,1004,320826.0,120682.0
202201,부산광역시,여행업,2001,2682.0,0.0
202201,부산광역시,육상운송,3001,105.0,0.0
202201,부산광역시,수상운송,3002,0.0,11.0
202201,부산광역시,항공운송,3003,2271.0,1189.0
202201,부산광역시,렌터카,3004,3707.0,5308.0
202201,부산광역시,면세점,4001,48771.0,19831.0
202201,부산광역시,관광기념품,4002,2624.0,656.0
202201,부산광역시,레저용품쇼핑,4003,68929.0,27915.0
202201,부산광역시,대형쇼핑몰,4004,2608797.0,1808425.0
202201,부산광역시,카지노,5001,36500.0,28000.0
202201,부산광역시,관광유원시설,5002,12168.0,5259.0
202201,부산광역시,골프장,5003,22675.0,25794.0
202201,부산광역시,기타레저,5005,16.0,74.0
202201,부산광역시,문화서비스,5006,2367.0,1219.0
202201,부산광역시,식음료,6001,600225.0,340303.0
202202,부산광역시,총소비,0000,4491423.0,2960571.0
202202,부산광역시,호텔,1001,555322.0,404259.0
202202,부산광역시,콘도,1002,141.0,346.0
202202,부산광역시,기타숙박,1004,324222.0,166267.0
202202,부산광역시,여행업,2001,0.0,0.0
202202,부산광역시,육상운송,3001,75.0,0.0
202202,부산광역시,수상운송,3002,36.0,55.0
202202,부산광역시,항공운송,3003,1229.0,368.0
202202,부산광역시,렌터카,3004,7030.0,3150.0
202202,부산광역시,면세점,4001,22212.0,14792.0
202202,부산광역시,관광기념품,4002,4297.0,2736.0
202202,부산광역시,레저용품쇼핑,4003,40052.0,24255.0
202202,부산광역시,대형쇼핑몰,4004,2514086.0,1731235.0
202202,부산광역시,카지노,5001,383407.0,97800.0
202202,부산광역시,관광유원시설,5002,14779.0,12069.0
202202,부산광역시,골프장,5003,22899.0,18533.0
202202,부산광역시,기타레저,5005,64.0,64.0
202202,부산광역시,문화서비스,5006,1825.0,896.0
202202,부산광역시,식음료,6001,599748.0,483747.0
202203,부산광역시,총소비,0000,5073729.0,3911107.0
202203,부산광역시,호텔,1001,678261.0,545525.0
202203,부산광역시,콘도,1002,159.0,573.0
202203,부산광역시,기타숙박,1004,322180.0,276019.0
202203,부산광역시,여행업,2001,715.0,926.0
202203,부산광역시,육상운송,3001,459.0,334.0
202203,부산광역시,수상운송,3002,0.0,33.0
202203,부산광역시,항공운송,3003,1065.0,126.0
202203,부산광역시,렌터카,3004,5338.0,4131.0
202203,부산광역시,면세점,4001,23538.0,19511.0
202203,부산광역시,관광기념품,4002,7192.0,5513.0
202203,부산광역시,레저용품쇼핑,4003,25450.0,26651.0
202203,부산광역시,대형쇼핑몰,4004,2955901.0,2267739.0
202203,부산광역시,카지노,5001,187500.0,59800.0
202203,부산광역시,관광유원시설,5002,26607.0,36289.0
202203,부산광역시,골프장,5003,23115.0,18590.0
202203,부산광역시,기타레저,5005,66.0,32.0
202203,부산광역시,문화서비스,5006,2304.0,1917.0
202203,부산광역시,식음료,6001,813879.0,647398.0
202204,부산광역시,총소비,0000,6963607.0,3555503.0
202204,부산광역시,호텔,1001,1472372.0,569827.0
202204,부산광역시,콘도,1002,492.0,470.0
202204,부산광역시,캠핑장/펜션,1003,60.0,100.0
202204,부산광역시,기타숙박,1004,456242.0,191722.0
202204,부산광역시,여행업,2001,2552.0,0.0
202204,부산광역시,육상운송,3001,887.0,369.0
202204,부산광역시,수상운송,3002,298.0,55.0
202204,부산광역시,항공운송,3003,2488.0,54.0
202204,부산광역시,렌터카,3004,6363.0,4120.0
202204,부산광역시,면세점,4001,26992.0,16788.0
202204,부산광역시,관광기념품,4002,13414.0,7965.0
202204,부산광역시,레저용품쇼핑,4003,52674.0,36827.0
202204,부산광역시,대형쇼핑몰,4004,3407555.0,2085431.0
202204,부산광역시,카지노,5001,127500.0,9900.0
202204,부산광역시,관광유원시설,5002,51591.0,28093.0
202204,부산광역시,골프장,5003,24696.0,20839.0
202204,부산광역시,기타레저,5005,0.0,106.0
202204,부산광역시,문화서비스,5006,4159.0,1822.0
202204,부산광역시,식음료,6001,1313271.0,581014.0
202205,부산광역시,총소비,0000,9901533.0,5058579.0
202205,부산광역시,호텔,1001,1785289.0,712253.0
202205,부산광역시,콘도,1002,247.0,326.0
202205,부산광역시,캠핑장/펜션,1003,52.0,0.0
202205,부산광역시,기타숙박,1004,774260.0,337595.0
202205,부산광역시,여행업,2001,2852.0,0.0
202205,부산광역시,육상운송,3001,1564.0,593.0
202205,부산광역시,수상운송,3002,810.0,283.0
202205,부산광역시,항공운송,3003,4525.0,258.0
202205,부산광역시,렌터카,3004,12068.0,6747.0
202205,부산광역시,면세점,4001,85425.0,48446.0
202205,부산광역시,관광기념품,4002,22665.0,7181.0
202205,부산광역시,레저용품쇼핑,4003,70367.0,56932.0
202205,부산광역시,대형쇼핑몰,4004,4695324.0,2816585.0
202205,부산광역시,카지노,5001,109500.0,41250.0
202205,부산광역시,관광유원시설,5002,113117.0,53339.0
202205,부산광역시,골프장,5003,28430.0,17464.0
202205,부산광역시,기타레저,5005,99.0,16.0
202205,부산광역시,문화서비스,5006,8161.0,2322.0
202205,부산광역시,식음료,6001,2186777.0,956988.0
202206,부산광역시,총소비,0000,9736831.0,4497351.0
202206,부산광역시,호텔,1001,2003314.0,729596.0
202206,부산광역시,콘도,1002,215.0,299.0
202206,부산광역시,캠핑장/펜션,1003,57.0,0.0
202206,부산광역시,기타숙박,1004,761725.0,224168.0
202206,부산광역시,여행업,2001,2245.0,0.0
202206,부산광역시,육상운송,3001,3700.0,635.0
202206,부산광역시,수상운송,3002,502.0,184.0
202206,부산광역시,항공운송,3003,6766.0,2774.0
202206,부산광역시,렌터카,3004,13425.0,3655.0
202206,부산광역시,면세점,4001,102408.0,92642.0
202206,부산광역시,관광기념품,4002,25176.0,9698.0
202206,부산광역시,레저용품쇼핑,4003,56459.0,39263.0
202206,부산광역시,대형쇼핑몰,4004,4422388.0,2480634.0
202206,부산광역시,카지노,5001,94900.0,19700.0
202206,부산광역시,관광유원시설,5002,122918.0,21117.0
202206,부산광역시,골프장,5003,17715.0,17388.0
202206,부산광역시,기타레저,5005,90.0,32.0
202206,부산광역시,문화서비스,5006,11581.0,2507.0
202206,부산광역시,식음료,6001,2091247.0,853060.0
202207,부산광역시,총소비,0000,1.2317926E7,4661231.0
202207,부산광역시,호텔,1001,2248964.0,756462.0
202207,부산광역시,콘도,1002,414.0,320.0
202207,부산광역시,캠핑장/펜션,1003,318.0,0.0
202207,부산광역시,기타숙박,1004,1230783.0,322077.0
202207,부산광역시,여행업,2001,2671.0,0.0
202207,부산광역시,육상운송,3001,4293.0,1246.0
202207,부산광역시,수상운송,3002,1547.0,148.0
202207,부산광역시,항공운송,3003,1761.0,1887.0
202207,부산광역시,렌터카,3004,24342.0,4034.0
202207,부산광역시,면세점,4001,98185.0,60940.0
202207,부산광역시,관광기념품,4002,35896.0,3436.0
202207,부산광역시,레저용품쇼핑,4003,109188.0,27908.0
202207,부산광역시,대형쇼핑몰,4004,5474287.0,2608360.0
202207,부산광역시,카지노,5001,355500.0,29000.0
202207,부산광역시,관광유원시설,5002,170194.0,27079.0
202207,부산광역시,골프장,5003,31293.0,23055.0
202207,부산광역시,기타레저,5005,54.0,16.0
202207,부산광역시,문화서비스,5006,13534.0,2550.0
202207,부산광역시,식음료,6001,2514703.0,792712.0
